radius:5 cm,area:78.5 sq cm,circumference:32.400000000000006 cm
<__main__.circle object at 0x00000207666BE550>,50.24,25.12
<__main__.circle object at 0x00000207666BF390>,78.5,31.400000000000002
<__main__.circle object at 0x00000207666BF210>,113.03999999999999,37.68
<__main__.circle object at 0x00000207666BF390>,153.86,43.96
4,50.24,25.12
5,78.5,31.400000000000002
6,113.03999999999999,37.68
7,153.86,43.96
44,6079.04,276.32
5,78.5,31.400000000000002
6,113.03999999999999,37.68
2,12.56,12.56
2,12.56,12.56
1,3.14,6.28
2,12.56,12.56
3,28.259999999999998,18.84
4,50.24,25.12
5,78.5,31.400000000000002
6,113.03999999999999,37.68
7,153.86,43.96
8,200.96,50.24
9,254.34,56.52
1,3.14,6.28
2,12.56,12.56
3,28.259999999999998,18.84
4,50.24,25.12
5,78.5,31.400000000000002
6,113.03999999999999,37.68
7,153.86,43.96
8,200.96,50.24
9,254.34,56.52
1,3.14,6.28
2,12.56,12.56
3,28.259999999999998,18.84
4,50.24,25.12
5,78.5,31.400000000000002
6,113.03999999999999,37.68
7,153.86,43.96
8,200.96,50.24
9,254.34,56.52
1,3.14,6.28
2,12.56,12.56
3,28.259999999999998,18.84
4,50.24,25.12
5,78.5,31.400000000000002
6,113.03999999999999,37.68
7,153.86,43.96
8,200.96,50.24
9,254.34,56.52
